COMPANY NAME,Listing date,Lisiting Date,Lisiting Month,Lisiting Year,Issue Size,Issue Price,QIB,HNI,retail,total Subscription,Listing Open (Rs),Listing Close (Rs),Listing Gain %,LTP (Rs),Current Gain %,Status
Ceigall India Ltd.,8-Aug-24,8,8,2024,1252.7,401,31.5,14.4,3.8,13.8,419,386.8,-4%,379.9,-5%,Loss
Dhariwalcorp Ltd.,8-Aug-24,8,8,2024,25.1,106,39.8,379.7,251.8,165,150,142.5,34%,141.6,34%,Profit
Utssav CZ Gold Jewels Ltd.,7-Aug-24,7,8,2024,69.5,110,19.4,86.1,62,44.3,110,115.5,5%,204,86%,Profit
Sathlokhar Synergys E&C Global Ltd.,6-Aug-24,6,8,2024,92.9,140,85.8,478.9,200.8,185,260,247,76%,442.6,216%,Profit
Rajputana Industries Ltd.,6-Aug-24,6,8,2024,23.9,38,81.8,540,644.6,347.5,72.2,75.8,100%,85.5,125%,Profit
Bulkcorp International Ltd.,6-Aug-24,6,8,2024,20.8,105,55.4,334.3,481.7,246.4,130,136.5,30%,101.1,-4%,Profit
Ashapura Logistics Ltd.,6-Aug-24,6,8,2024,52.7,144,68.2,385.3,231.4,172.9,185,175.8,22%,125.8,-13%,Profit
Akums Drugs and Pharmaceuticals Ltd.,6-Aug-24,6,8,2024,1856.7,679,90.1,42.2,21.3,63.6,725,796.3,17%,851.8,25%,Profit
Kizi Apparels Ltd.,6-Aug-24,6,8,2024,5.6,21,0,86.9,132.4,109.7,23.1,24.3,16%,32.5,55%,Profit
SA Tech Software India Ltd.,2-Aug-24,2,8,2024,23,59,103.4,1518.1,798.3,558.9,112.1,117.7,100%,177,200%,Profit
Esprit Stones Ltd.,2-Aug-24,2,8,2024,50.4,87,60.5,514.3,187.4,173,93.2,97.8,12%,105,21%,Profit
Aprameya Engineering Ltd.,1-Aug-24,1,8,2024,29.2,58,48,451.8,249.5,179.1,72,75.6,30%,59,2%,Profit
Clinitech Laboratory Ltd.,1-Aug-24,1,8,2024,5.8,96,0,24.4,49.6,37,115,120.8,26%,78,-19%,Profit
Trom Industries Ltd.,1-Aug-24,1,8,2024,31.4,115,104.7,1000.4,651.1,430.3,218.5,229.4,100%,237.6,107%,Profit
Chetana Education Ltd.,31-Jul-24,31,7,2024,45.9,85,53.7,622.4,179.3,183,98.9,103.8,22%,90.3,6%,Profit
Manglam Infra & Engineering Ltd.,31-Jul-24,31,7,2024,27.6,56,79.7,923.4,454.5,337.4,106.4,111.7,100%,68.5,22%,Profit
V L Infraprojects Ltd.,30-Jul-24,30,7,2024,18.5,42,107.5,961,1114.5,588,79.8,83.8,99%,78.2,86%,Profit
VVIP Infratech Ltd.,30-Jul-24,30,7,2024,61.2,93,168.4,335.9,181.7,220,176.7,185.5,100%,227.5,145%,Profit
RNFI Services Ltd.,29-Jul-24,29,7,2024,70.8,105,74,678.5,210.8,212.6,199.5,189.6,81%,144.6,38%,Profit
SAR Televenture Ltd.,29-Jul-24,29,7,2024,150,210,4.4,15.3,9.9,8,225.1,232.6,11%,345.3,64%,Profit
Sanstar Ltd.,26-Jul-24,26,7,2024,510.1,95,145.7,136.5,24.2,83,109,115.1,21%,140,47%,Profit
Macobs Technologies Ltd.,24-Jul-24,24,7,2024,19.5,75,40.8,305.5,202.5,190.1,96,100.8,34%,137,83%,Profit
Kataria Industries Ltd.,24-Jul-24,24,7,2024,54.6,96,90.9,1286.9,364.5,366.1,182.4,191.5,100%,207.2,116%,Profit
Tunwal E-Motors Ltd.,23-Jul-24,23,7,2024,115.6,59,0,7.3,15.8,11.6,64,60.8,3%,49,-17%,Profit
Prizor Viztech Ltd.,22-Jul-24,22,7,2024,25.1,87,49.5,372.4,354.9,204.9,165.3,0,90%,160.7,85%,Profit
Three M Paper Boards Ltd.,22-Jul-24,22,7,2024,39.8,69,79.4,210.8,175.2,159.4,76,79.8,16%,61,-12%,Profit
Sati Poly Plast Ltd.,22-Jul-24,22,7,2024,17.4,130,77.3,755.1,887.9,462.7,247,0,90%,207.9,60%,Profit
Aelea Commodities Ltd.,22-Jul-24,22,7,2024,51,95,104.2,288.8,164.9,182.2,165,173.3,82%,203.9,115%,Profit
Sahaj Solar Ltd.,19-Jul-24,19,7,2024,52.6,180,112.5,1132.8,702.2,472,342,359.1,100%,665.3,270%,Profit
Ganesh Green Bharat Ltd.,12-Jul-24,12,7,2024,125.2,190,80.8,616.3,231.5,213.9,361,379.1,100%,401.9,112%,Profit
Effwa Infra & Research Ltd.,12-Jul-24,12,7,2024,51.3,82,86.4,650.4,429.6,291.1,155.8,163.6,100%,282.4,244%,Profit
Ambey Laboratories Ltd.,11-Jul-24,11,7,2024,44.7,68,33,279,258.9,148.9,85,89.3,31%,64.7,-5%,Profit
Emcure Pharmaceuticals Ltd.,10-Jul-24,10,7,2024,1952,1008,195.8,48.3,7.2,67.9,1325,1359.2,35%,1448.5,44%,Profit
Bansal Wire Industries Ltd.,10-Jul-24,10,7,2024,745,256,146.1,51.5,13.6,59.6,356,350.4,37%,427.7,67%,Profit
Nephro Care India Ltd.,5-Jul-24,5,7,2024,41.3,90,121,2214.8,782.4,666.6,171,179.6,100%,261.2,190%,Profit
Vraj Iron & Steel Ltd.,3-Jul-24,3,7,2024,171,207,163.9,208.8,54.9,119,240,252,22%,246.5,19%,Profit
Diensten Tech Ltd.,3-Jul-24,3,7,2024,22.1,100,5.1,206.8,47.6,50.2,240,252,152%,176,76%,Profit
Allied Blenders & Distillers Ltd.,2-Jul-24,2,7,2024,1500,281,50.4,32.4,4.5,23.6,320,317.9,13%,345.6,23%,Profit
Akiko Global Services Ltd.,2-Jul-24,2,7,2024,23.1,77,6.2,65,63.9,35.2,98,93.3,21%,81,5%,Profit
Petro Carbon and Chemicals Ltd.,2-Jul-24,2,7,2024,113.2,171,49.1,169.5,96.7,83.8,300,315,84%,275.5,61%,Profit
Divine Power Energy Ltd.,2-Jul-24,2,7,2024,22.8,40,73.1,632.9,678.8,369.1,155,152.3,281%,80.8,102%,Profit
Shivalic Power Control Ltd.,1-Jul-24,1,7,2024,64.3,100,90.2,578.5,305,238.6,311,326.6,227%,225.5,126%,Profit
Sylvan Plyboard (India) Ltd.,1-Jul-24,1,7,2024,28.1,55,0,72.2,84.8,78.5,66,69.3,26%,101.6,85%,Profit
Mason Infratech Ltd.,1-Jul-24,1,7,2024,30.5,64,4.2,67.3,48.6,30.7,88,92.4,44%,155.1,142%,Profit
Visaman Global Sales Ltd.,1-Jul-24,1,7,2024,16.1,43,0,22.3,48.9,37.9,45.1,47.4,10%,43,0%,Profit
Stanley Lifestyles Ltd.,28-Jun-24,28,6,2024,537,369,222.1,119.5,19.2,97,494.9,474.8,29%,490.8,33%,Profit
Medicamen Organics Ltd.,28-Jun-24,28,6,2024,10.5,34,90.9,1773,1729.8,916.8,137.8,144.7,326%,66,94%,Profit
Dindigul Farm Products Ltd.,27-Jun-24,27,6,2024,34.8,54,145.6,207.1,201.4,188.1,102.6,107.7,100%,77.4,43%,Profit
Winny Immigration & Education Services Ltd.,27-Jun-24,27,6,2024,9.1,140,0,95.5,180.7,142.4,240,252,80%,262,87%,Profit
Akme Fintrade (India) Ltd.,26-Jun-24,26,6,2024,132,120,28.1,130.3,45.8,55.1,127,133.3,11%,115.6,-4%,Profit
DEE Development Engineers Ltd.,26-Jun-24,26,6,2024,418,203,201.9,144,23.4,99.6,325,335,65%,302.1,49%,Profit
Durla Top Surface Ltd.,26-Jun-24,26,6,2024,40.8,68,40.2,438.8,214.3,160.9,109,103.5,52%,63.8,-6%,Profit
Kay Cee Energy & Infra Ltd.,5-Jan-24,5,1,2024,15.9,54,66,2184.5,1711,959.5,252,239.4,343%,277.8,414%,Profit
Goyal Salt Ltd.,11-Oct-23,11,10,2023,18.6,38,33.1,518.9,493.4,267.1,130,136.1,258%,191.2,403%,Profit
Esconet Technologies Ltd.,23-Feb-24,23,2,2024,28.2,84,82.6,1151.4,734.8,471.2,290,275.5,228%,489.8,483%,Profit
Sungarner Energies Ltd.,31-Aug-23,31,8,2023,5.3,83,0,100.8,175.5,138.2,250,262.4,216%,752.5,807%,Profit
Owais Metal and Mineral Processing Ltd.,4-Mar-24,4,3,2024,42.7,87,47.5,428.1,339.9,206.9,250,262.5,202%,1340,1440%,Profit
Alpe Solar Ltd.,15-Feb-24,15,2,2024,74.5,115,75.2,668.1,467.6,301.4,329,345.4,200%,836.5,627%,Profit
Trident Techlabs Ltd.,29-Dec-23,29,12,2023,16,35,41.4,825.8,1023.1,502.6,98.2,103,194%,840,2300%,Profit
TAC Infosec Ltd.,5-Apr-24,5,4,2024,30,106,75.1,1022,576.3,392.6,290,304.5,187%,734.9,593%,Profit
Paras Defence and Space Technologies Ltd.,1-Oct-21,1,10,2021,170.8,175,169.7,927.7,112.8,304.3,475,498.8,185%,1124.7,543%,Profit
Australian Premium Solar (India) Ltd.,18-Jan-24,18,1,2024,28.1,54,56.9,1028.2,711.9,431.8,140,147,172%,441.2,717%,Profit
Oriana Power Ltd.,11-Aug-23,11,8,2023,59.7,118,27.4,239.3,193.7,117.4,302,317.1,169%,2008,1602%,Profit
Srivari Spices and Foods Ltd.,18-Aug-23,18,8,2023,9,42,42,1044.5,687.9,418.4,101.5,106.5,154%,265.3,532%,Profit
Baheti Recycling Industries Ltd.,8-Dec-22,8,12,2022,12.4,45,0,259.2,435.6,347.5,120,114,153%,375.4,734%,Profit
BEW Engineering Ltd.,16-Sep-21,16,9,2021,4,58,0,0.6,6.7,3.6,127.6,133.9,131%,1390,2297%,Profit
Prevest Denpro Ltd.,27-Sep-21,27,9,2021,26.6,84,5.8,79,32.9,38.1,180.6,189.6,126%,578,588%,Profit
Insolation Energy Ltd.,10-Oct-22,10,10,2022,22.2,36,0,150,235.4,192.7,76.1,79.9,122%,3723.1,10242%,Profit
Concord Control Systems Ltd.,10-Oct-22,10,10,2022,8.3,53,15.2,307.4,423.7,202.2,110,115.4,118%,1810,3315%,Profit
Krishca Strapping Solutions Ltd.,26-May-23,26,5,2023,17.9,54,36.1,786.9,572.8,336.6,118.8,112.9,109%,381.6,607%,Profit
Mrs. Bectors Food Specialities Ltd.,24-Dec-20,24,12,2020,540.5,288,176.8,620.9,29.3,198,501,595.5,107%,2115.7,635%,Profit
Virtuoso Optoelectronics Ltd.,15-Sep-22,15,9,2022,30.2,56,0,112.9,80.8,96.8,117,115.4,106%,393.4,603%,Profit
Krishna Defence and Allied Industries Ltd.,6-Apr-22,6,4,2022,11.9,39,8.8,159.9,132.3,74.8,75,78.8,102%,727.9,1766%,Profit
PNGS Gargi Fashion Jewellery Ltd.,20-Dec-22,20,12,2022,7.8,30,0,213.2,248.3,230.7,57,59.9,100%,827.8,2659%,Profit
Bondada Engineering Ltd.,30-Aug-23,30,8,2023,42.7,75,8.6,365.7,135.5,106.6,142.5,149.6,100%,608.3,3955%,Profit
Amic Forging Ltd.,6-Dec-23,6,12,2023,34.8,126,91.4,435.9,273,268.8,239.4,251.3,100%,1658.8,1217%,Profit
Meson Valves India Ltd.,21-Sep-23,21,9,2023,31.1,102,0,137,192.6,164.8,193.8,203.4,100%,849.4,733%,Profit
Olatech Solutions Ltd.,29-Aug-22,29,8,2022,1.9,27,0,517.7,679.9,598.8,51.3,53.9,99%,260.6,1686%,Profit
Motisons Jewellers Ltd.,26-Dec-23,26,12,2023,151.1,55,157.4,233.9,122.3,159.6,109,103.5,88%,287.6,423%,Profit
Indian Renewable Energy Development Agency Ltd.,29-Nov-23,29,11,2023,2150.2,32,104.6,24.2,7.7,38.8,50,60,88%,232.4,626%,Profit
Annapurna Swadisht Ltd.,27-Sep-22,27,9,2022,30.3,68,18.3,301.1,225.5,133.4,120,126,85%,415.8,512%,Profit
Netweb Technologies India Ltd.,27-Jul-23,27,7,2023,631,500,228.9,81.8,19.1,90.4,947,910.4,82%,2682.3,437%,Profit
Veekayem Fashion and Apparels Ltd.,22-Aug-22,22,8,2022,4.4,28,0,355.9,247.1,301.5,49.9,50,79%,227.4,712%,Profit
Viviana Power Tech Ltd.,16-Sep-22,16,9,2022,8.8,55,0,97.5,72.8,85.1,90,94.5,72%,848,1442%,Profit
Macfos Ltd.,1-Mar-23,1,3,2023,23.7,102,21.6,660,268.3,193.8,184,174.8,71%,810,694%,Profit
Containe Technologies Ltd.,30-Sep-22,30,9,2022,2.6,15,0,154.1,76.2,115.7,22,23.1,54%,111,640%,Profit
RBM Infracon Ltd.,4-Jan-23,4,1,2023,8.4,36,0,46.3,34.2,40.3,52.5,55.1,53%,927.3,2476%,Profit
Pritika Engineering Components Ltd.,8-Dec-22,8,12,2022,9.4,29,0,144.3,168.5,156.4,42.2,44.3,53%,174.1,500%,Profit
S J Logistics (India) Ltd.,19-Dec-23,19,12,2023,48,125,61.7,651.2,473.1,294.1,175,183.8,47%,628.9,403%,Profit
Jay Jalaram Technologies Ltd.,8-Sep-22,8,9,2022,10.8,36,0,18.6,11.4,15,50,52.5,46%,575,1497%,Profit
Amber Enterprises India Ltd.,30-Jan-18,30,1,2018,600,859,175,519.3,11.7,165.4,1175,1237.3,44%,4347.6,406%,Profit
RailTel Corporation of India Ltd.,26-Feb-21,26,2,2021,819.2,94,65.1,73.3,16.8,42.4,109,121.4,29%,477.6,408%,Profit
Sahana Systems Ltd.,12-Jun-23,12,6,2023,32.7,135,9.2,6.8,12.3,9.5,163,171.2,27%,1311.8,872%,Profit
DMR Hydroengineering & Infrastructure Ltd.,7-Dec-21,7,12,2021,2.1,21,0,8.5,14.3,11.4,25,26.3,25%,171.2,715%,Profit
Neogen Chemicals Ltd.,8-May-19,8,5,2019,132.3,215,30.5,113.9,15.9,41.1,251,263.6,23%,2337.3,987%,Profit
Gayatri Rubbers and Chemicals Ltd.,7-Feb-23,7,2,2023,4.6,30,0,-,-,-,35,36.8,23%,407.4,1258%,Profit
Polycab India Ltd.,18-Apr-19,18,4,2019,1346,538,92.4,110.4,4.5,51.9,633,654.8,22%,6559.4,1119%,Profit
V-Marc India Ltd.,9-Apr-21,9,4,2021,23.4,39,0,1.4,1.8,1.6,46.5,47.1,21%,388,895%,Profit
Mazagon Dock Shipbuilders Ltd.,12-Oct-20,12,10,2020,443.7,145,89.7,678.9,35.6,157.4,216.3,173,19%,4374.1,2917%,Profit
Empyrean Cashews Ltd.,31-Mar-22,31,3,2022,19.4,37,0,2.9,1.6,2.3,42,44.1,19%,323,773%,Profit
Teerth Gopicon Ltd.,16-Apr-24,16,4,2024,44.4,111,0,92.4,42.1,67.2,125,131.3,18%,624.9,463%,Profit
Kaynes Technology India Ltd.,22-Nov-22,22,11,2022,857.8,587,98.5,21.2,4.1,34.1,778,690,18%,5479.4,834%,Profit
Jeena Sikho Lifecare Ltd.,19-Apr-22,19,4,2022,55.5,150,0,2.8,1.7,2.3,165.1,173.3,16%,1388.7,1567%,Profit
Proma Power Ltd,12-Oct-21,12,10,2021,1.6,10,0,2.4,11.4,6.9,13.3,11.6,16%,53.9,978%,Profit
AB Cotspin India Ltd.,11-Jan-22,11,1,2022,10.1,35,0,9.4,17.5,13.5,38.5,40.4,15%,348.9,897%,Profit
Sona Hi Sona Jewellers (Gujarat) Ltd.,15-Oct-19,15,10,2019,4.5,10,0,1.7,0.7,1.2,11.2,11.4,14%,188.5,1785%,Profit
Vishnusurya Projects And Infra Ltd.,10-Oct-23,10,10,2023,50,68,0,34.6,41.4,38,73,76.7,13%,342.8,404%,Profit
Kody Technolab Ltd.,27-Sep-23,27,9,2023,27.5,160,0,39.2,50.9,45,170,178.5,12%,3634.1,2171%,Profit
Getalong Enterprises Ltd.,8-Oct-21,8,10,2021,5.2,69,0,2.1,2.1,2.1,72.2,76.7,11%,368,433%,Profit
Veefin Solutions Ltd.,5-Jul-23,5,7,2023,46.7,82,0,3.2,1.6,2.4,86,90.2,10%,674.4,722%,Profit
Venus Pipes & Tubes Ltd.,24-May-22,24,5,2022,165.4,326,12,15.7,19,16.3,337.5,354.4,9%,2229.9,584%,Profit
Misquita Engineering Ltd.,4-Oct-19,4,10,2019,1.9,27,0,2.5,0.7,1.6,27.9,29.2,8%,168.2,523%,Profit
Suratwwala Business Group Ltd.,13-Aug-20,13,8,2020,6.9,15,0,2.4,0.3,1.3,15.4,16.2,8%,107.7,7080%,Profit
Ksolves India Ltd.,6-Jul-20,6,7,2020,4,100,0,2.2,0.6,1.4,102,106.9,7%,1029.7,930%,Profit
Anand Rathi Wealth Ltd.,14-Dec-21,14,12,2021,660,550,2.5,25.4,7.8,9.8,584.5,583.5,6%,3899.5,609%,Profit
Kore Digital Ltd.,14-Jun-23,14,6,2023,18,180,0,47.4,31.5,39.5,201,190.9,6%,2407.8,1238%,Profit
Evans Electric Ltd.,13-May-19,13,5,2019,1.9,52,0,2.6,0.6,1.6,52.2,54.8,5%,291.6,1022%,Profit
Fine Organic Industries Ltd.,2-Jul-18,2,7,2018,597.9,783,12.9,21,1.6,9,815,822.8,5%,5291.7,576%,Profit
Dynamic Services & Security Ltd.,13-Oct-21,13,10,2021,24.1,51,0,2.3,1.6,1.9,53,53.5,5%,272.3,434%,Profit
Cospower Engineering Ltd.,30-Mar-20,30,3,2020,2,51,0,2.4,0.7,1.5,51,53.1,4%,331.7,550%,Profit
DJ Mediaprint & Logistics Ltd.,13-Apr-20,13,4,2020,2.4,20,0,1.9,1.7,1.8,20.6,20.8,4%,119.6,3492%,Profit
Knowledge Marine & Engineering Works Ltd.,22-Mar-21,22,3,2021,10.1,37,0,2.1,3.6,2.9,38,38.3,3%,1824,4830%,Profit
Newgen Software Technologies Ltd.,29-Jan-18,29,1,2018,424.6,245,15.6,5.5,5.2,8.3,256,253,3%,1323,980%,Profit
Surani Steel Tubes Ltd.,6-Feb-19,6,2,2019,12.9,52,0,1.7,1.2,1.6,53.1,53.3,2%,301,479%,Profit
Kesar India Ltd.,12-Jul-22,12,7,2022,15.8,170,0,2.6,0.9,1.8,172.5,174,2%,868.7,3476%,Profit
Advait Infratech Ltd.,30-Sep-20,30,9,2020,6.9,51,0,1.5,2.3,1.9,52,51.5,1%,1769,6837%,Profit
DC Infotech and Communication Ltd.,27-Dec-19,27,12,2019,10.8,45,0,1.4,1.8,1.6,45.5,45.2,0%,340.4,657%,Profit
Shiv Aum Steels Ltd.,1-Oct-19,1,10,2019,15.8,44,0,2.3,0.4,1.3,44.3,44.1,0%,294,568%,Profit
CWD Ltd.,13-Oct-21,13,10,2021,18,180,0,1.9,0.7,1.3,180.2,180.6,0%,912.1,407%,Profit
Foce India Ltd.,28-Dec-21,28,12,2021,29,225,0,1.3,1.8,1.6,225,225.7,0%,1625,622%,Profit
Rail Vikas Nigam Ltd.,11-Apr-19,11,4,2019,481.6,19,1.4,0.8,2.9,1.8,19,19.1,0%,544.3,2765%,Profit
Sigma Solve Ltd.,19-Oct-20,19,10,2020,5,45,0,1.1,2.1,1.6,46,45.1,0%,379.8,2010%,Profit
Wonder Fibromats Ltd.,1-Aug-19,1,8,2019,19.8,89,0,2.2,0.3,1.3,93,89,0%,1527,1616%,Profit
HG Infra Engineering Ltd.,9-Mar-18,9,3,2018,457.7,270,8.4,5,3.1,5,270,270.1,0%,1548.8,474%,Profit
Humming Bird Education Ltd.,28-Mar-19,28,3,2019,2.1,132,0,1.9,0.9,1.4,132,132,0%,991,651%,Profit
Lami Goldorna House Ltd.,16-Apr-20,16,4,2020,8.3,15,0,2.2,0.2,1.2,15,15,0%,276.9,1746%,Profit
Rajeshwari Cans Ltd.,15-Apr-21,15,4,2021,4,20,0,1.6,1.2,1.4,20.8,20,0%,688,3340%,Profit
Cool Caps Industries Ltd.,24-Mar-22,24,3,2022,11.6,38,0,4.6,11.3,7.9,35.9,37.6,-1%,404.9,965%,Loss
Shine Fashions (India) Ltd.,2-Nov-20,2,11,2020,1.6,40,0,1.8,1.6,1.7,40.5,39.5,-1%,369.6,824%,Loss
City Pulse Multiple Ltd.,11-Jul-19,11,7,2019,4,30,0,2.7,3.3,3,28.5,29.6,-1%,845,2717%,Loss
ITCONS E-Solutions Ltd.,13-Mar-23,13,3,2023,8.7,51,0,16.1,17.4,16.7,47,49.3,-3%,704,1280%,Loss
Indian Railway Finance Corporation Ltd.,29-Jan-21,29,1,2021,4633,26,3.8,2.7,3.7,3.5,25,24.9,-4%,161.4,521%,Loss
Sudarshan Pharma Industries Ltd.,22-Mar-23,22,3,2023,50.1,73,1,0.8,1.2,1.1,73,69.3,-5%,367.5,403%,Loss
Swaraj Suiting Ltd.,28-Mar-22,28,3,2022,10.7,56,0,13.8,10.5,12.1,56,53.2,-5%,283.9,914%,Loss
Kotyark Industries Ltd.,2-Nov-21,2,11,2021,11.3,51,0,3.6,10.7,7.2,51,48.5,-5%,889.9,1645%,Loss
